,Date,Open,High,Low,Close,Volume
0,19-Jan-18,178.61,179.58,177.41,178.46,32425067
1,18-Jan-18,179.37,180.1,178.25,179.26,31193352
2,17-Jan-18,176.15,179.25,175.07,179.1,34386836
3,16-Jan-18,177.9,179.39,176.14,176.19,29565947
4,12-Jan-18,176.18,177.36,175.65,177.09,25418080
5,11-Jan-18,174.59,175.49,174.49,175.28,18667729
6,10-Jan-18,173.16,174.3,173.0,174.29,23959895
7,9-Jan-18,174.55,175.06,173.41,174.33,21583997
8,8-Jan-18,174.35,175.61,173.93,174.35,20567766
9,5-Jan-18,173.44,175.37,173.05,175.0,23660018
10,4-Jan-18,172.54,173.47,172.08,173.03,22434597
11,3-Jan-18,172.53,174.55,171.96,172.23,29517899
12,2-Jan-18,170.16,172.3,169.26,172.26,25555934
13,29-Dec-17,170.52,170.59,169.22,169.23,25999922
14,28-Dec-17,171.0,171.85,170.48,171.08,16480187
15,27-Dec-17,170.1,170.78,169.71,170.6,21498213
16,26-Dec-17,170.8,171.47,169.68,170.57,33185536
17,22-Dec-17,174.68,175.42,174.5,175.01,16349444
18,21-Dec-17,174.17,176.02,174.1,175.01,20949896
19,20-Dec-17,174.87,175.42,173.25,174.35,23475649
20,19-Dec-17,174.99,175.39,174.09,174.54,27436447
21,18-Dec-17,174.88,177.2,174.86,176.42,29421114
22,15-Dec-17,173.63,174.17,172.46,173.97,40169307
23,14-Dec-17,172.4,173.13,171.65,172.22,20476541
24,13-Dec-17,172.5,173.54,172.0,172.27,23818447
25,12-Dec-17,172.15,172.39,171.46,171.7,19409230
26,11-Dec-17,169.2,172.89,168.79,172.67,35273759
27,8-Dec-17,170.49,171.0,168.82,169.37,23355231
28,7-Dec-17,169.03,170.44,168.91,169.32,25673308
29,6-Dec-17,167.5,170.2,166.46,169.01,28560000
30,5-Dec-17,169.06,171.52,168.4,169.64,27350154
31,4-Dec-17,172.48,172.62,169.63,169.8,32542385
32,1-Dec-17,169.95,171.67,168.5,171.05,39759288
33,30-Nov-17,170.43,172.14,168.44,171.85,41527218
34,29-Nov-17,172.63,172.92,167.16,169.48,41666364
35,28-Nov-17,174.3,174.87,171.86,173.07,26428802
36,27-Nov-17,175.05,175.08,173.34,174.09,20716802
37,24-Nov-17,175.1,175.5,174.65,174.97,14026673
38,22-Nov-17,173.36,175.0,173.05,174.96,25588925
39,21-Nov-17,170.78,173.7,170.78,173.14,25131295
40,20-Nov-17,170.29,170.56,169.56,169.98,16262447
41,17-Nov-17,171.04,171.39,169.64,170.15,21899544
42,16-Nov-17,171.18,171.87,170.3,171.1,23637484
43,15-Nov-17,169.97,170.32,168.38,169.08,29158070
44,14-Nov-17,173.04,173.48,171.18,171.34,24782487
45,13-Nov-17,173.5,174.5,173.4,173.97,16982080
46,10-Nov-17,175.11,175.38,174.27,174.67,25145500
47,9-Nov-17,175.11,176.1,173.14,175.88,29482596
48,8-Nov-17,174.66,176.24,174.33,176.24,24409527
49,7-Nov-17,173.91,175.25,173.6,174.81,24361485
50,6-Nov-17,172.36,174.99,171.72,174.25,35026306
51,3-Nov-17,174.0,174.26,171.12,172.5,59398631
52,2-Nov-17,166.6,168.5,165.28,168.11,41393373
53,1-Nov-17,169.87,169.94,165.61,166.89,33637762
54,31-Oct-17,167.9,169.65,166.94,169.04,36046828
55,30-Oct-17,163.89,168.07,163.72,166.72,44700772
56,27-Oct-17,159.29,163.6,158.7,163.05,44454160
57,26-Oct-17,157.23,157.83,156.78,157.41,17000469
58,25-Oct-17,156.91,157.55,155.27,156.41,21207098
