,Date,Open,High,Low,Close,Volume
0,19-Jan-18,341.67,344.00,335.75,337.73,7264401
1,18-Jan-18,350.70,350.83,339.15,340.16,9458634
2,17-Jan-18,337.73,352.23,336.41,351.01,9699917
3,16-Jan-18,339.90,347.73,331.33,335.16,12305475
4,12-Jan-18,330.38,336.88,330.38,336.21,6559284
5,11-Jan-18,322.13,328.40,321.19,328.12,4635344
6,10-Jan-18,317.49,322.15,315.50,320.26,4479288
7,9-Jan-18,310.59,319.91,310.49,318.43,5641298
8,8-Jan-18,308.66,310.86,305.75,310.15,4124862
9,5-Jan-18,296.77,308.89,296.72,308.84,6177731
10,4-Jan-18,297.94,298.42,295.47,296.67,4171720
11,3-Jan-18,295.94,298.50,295.47,297.8,3211195
12,2-Jan-18,295.75,296.99,295.40,296.84,2978918
13,29-Dec-17,296.94,297.30,294.83,294.91,1824591
14,28-Dec-17,295.81,296.99,294.74,296.35,1436751
15,27-Dec-17,296.41,296.80,294.80,295.62,1447837
16,26-Dec-17,295.54,297.44,294.65,295.36,1394737
17,22-Dec-17,296.33,296.52,293.01,295.1,2257350
18,21-Dec-17,298.05,298.39,294.13,295.03,5398275
19,20-Dec-17,298.70,299.33,297.11,297.9,2533689
20,19-Dec-17,296.50,297.58,294.18,297.25,2728367
21,18-Dec-17,296.00,297.14,294.52,296.14,2901644
22,15-Dec-17,295.87,297.37,293.02,293.94,6933490
23,14-Dec-17,293.35,296.82,292.60,293.88,3913444
24,13-Dec-17,290.50,295.85,289.70,291.84,5003328
25,12-Dec-17,289.94,292.80,287.72,289.94,5517550
26,11-Dec-17,286.21,286.49,279.90,283.16,4065242
27,8-Dec-17,285.01,287.32,283.56,285.9,4440528
28,7-Dec-17,282.81,284.79,277.80,281.97,4264354
29,6-Dec-17,276.58,279.14,274.00,278.27,2538083
30,5-Dec-17,279.01,279.44,274.86,275.54,2806075
31,4-Dec-17,276.16,281.83,276.00,277.97,5523013
32,1-Dec-17,277.51,278.73,270.60,271.38,4592483
33,30-Nov-17,269.91,277.04,269.43,276.8,4820313
34,29-Nov-17,269.48,269.68,266.15,269.3,3029095
35,28-Nov-17,267.00,268.01,265.23,267.99,2262052
36,27-Nov-17,265.38,266.84,264.72,265.58,1772196
37,24-Nov-17,265.26,266.57,264.53,265.88,788957
38,22-Nov-17,267.00,267.48,264.53,265.15,1471390
39,21-Nov-17,266.24,267.00,264.71,266.99,2267052
40,20-Nov-17,263.00,265.62,262.76,264.63,2447398
41,17-Nov-17,262.82,263.74,262.03,262.26,1724790
42,16-Nov-17,263.76,265.04,263.34,263.7,2710174
43,15-Nov-17,261.42,264.77,260.15,262.86,2510533
44,14-Nov-17,262.00,262.40,260.20,261.76,2358169
45,13-Nov-17,261.67,263.36,260.49,262.42,2604867
46,10-Nov-17,262.11,262.50,259.60,260.85,1740621
47,9-Nov-17,265.01,266.75,259.56,262.7,3215865
48,8-Nov-17,266.14,267.62,265.29,265.57,2841807
49,7-Nov-17,264.07,267.28,264.07,266.13,3205378
50,6-Nov-17,262.62,265.84,262.53,264.07,2911598
51,3-Nov-17,262.42,263.79,260.08,261.75,2610784
52,2-Nov-17,258.31,263.24,258.00,262.63,2529912
53,1-Nov-17,258.29,259.41,256.24,258.5,2929490
54,31-Oct-17,259.34,259.93,257.47,257.98,2742775
55,30-Oct-17,255.45,260.41,255.33,259.25,3025919
56,27-Oct-17,258.26,259.50,255.80,256.46,2899168
57,26-Oct-17,259.72,261.44,257.31,259.27,3419137
58,25-Oct-17,264.78,266.00,254.50,258.42,7895318
59,24-Oct-17,263.24,267.21,263.24,266.0,4401597
60,23-Oct-17,265.13,265.98,262.14,262.32,3302395
61,20-Oct-17,260.36,264.83,259.44,264.75,3955922
62,19-Oct-17,258.98,259.10,256.03,259.04,2589203
63,18-Oct-17,258.47,260.73,256.66,260.04,2051651
64,17-Oct-17,256.49,259.05,256.26,258.62,2515865
65,16-Oct-17,261.50,262.00,259.69,259.75,1818869
66,13-Oct-17,262.90,263.79,260.74,260.74,2243903
67,12-Oct-17,260.95,262.98,260.00,261.91,2577900
68,11-Oct-17,261.32,261.32,259.02,260.39,361602
69,10-Oct-17,259.74,261.06,257.20,260.93,2740651
70,9-Oct-17,259.00,259.00,257.11,258.39,2146782
71,6-Oct-17,258.00,258.90,257.06,258.58,2736358
72,5-Oct-17,255.28,258.99,254.78,258.89,3940198
73,4-Oct-17,256.12,257.13,254.07,255.76,3030983
74,3-Oct-17,255.99,258.26,254.69,255.46,3163415
75,2-Oct-17,254.65,255.99,253.53,255.99,2685053
76,29-Sep-17,253.85,255.26,252.59,254.21,2531131
77,28-Sep-17,254.11,255.80,251.17,254.27,2586076
78,27-Sep-17,255.27,258.77,253.97,255.28,3812914
79,26-Sep-17,254.60,256.48,253.54,253.7,2173606
80,25-Sep-17,256.97,256.97,251.50,254.32,3479166
81,22-Sep-17,256.31,259.30,256.13,256.45,3475566
82,21-Sep-17,256.13,256.99,254.42,256.04,2809374
83,20-Sep-17,253.26,256.69,252.25,255.46,3853153
84,19-Sep-17,253.08,255.17,251.63,252.46,4124716
85,18-Sep-17,249.97,253.79,248.91,253.08,5192959
86,15-Sep-17,247.36,249.95,246.21,249.0,9033301
87,14-Sep-17,243.00,245.61,242.50,245.23,4995155
88,13-Sep-17,240.00,243.48,237.09,241.93,4529090
89,12-Sep-17,240.59,241.71,238.95,240.58,2702732
90,11-Sep-17,239.50,241.85,239.31,240.59,3628146
91,8-Sep-17,235.75,239.39,235.21,238.78,3404151
92,7-Sep-17,234.75,236.54,234.29,236.31,2994514
93,6-Sep-17,237.53,237.86,234.34,234.62,4252704
94,5-Sep-17,240.30,240.36,236.23,237.0,3869251
95,1-Sep-17,239.66,242.53,239.17,240.33,3271270
96,31-Aug-17,241.00,241.10,238.41,239.66,3075798
97,30-Aug-17,240.99,241.44,239.00,240.46,2801097
98,29-Aug-17,237.21,241.17,236.08,240.49,3535465
99,28-Aug-17,236.22,237.55,234.61,237.18,2394983
100,25-Aug-17,239.00,239.09,235.60,235.89,2270276
101,24-Aug-17,238.52,238.90,236.60,238.74,2553084
102,23-Aug-17,239.36,239.36,237.19,238.09,2518274
103,22-Aug-17,236.16,239.89,236.11,239.75,2915687
104,21-Aug-17,235.77,236.94,234.35,235.68,2545355
105,18-Aug-17,235.00,237.26,234.57,235.77,2939494
106,17-Aug-17,237.38,237.60,235.25,235.59,2810933
107,16-Aug-17,239.70,240.26,237.41,237.59,3012660
108,15-Aug-17,237.21,239.64,236.01,239.17,2851082
109,14-Aug-17,236.01,237.48,235.72,237.15,2953549
110,11-Aug-17,232.76,235.40,230.94,234.88,3461663
111,10-Aug-17,234.03,236.16,231.91,232.88,6817655
112,9-Aug-17,238.01,238.70,234.10,234.31,5680369
113,8-Aug-17,239.91,240.52,238.93,239.5,4871451
114,7-Aug-17,237.60,241.43,237.21,240.23,3674677
115,4-Aug-17,238.58,239.73,236.38,237.71,5590535
116,3-Aug-17,237.06,239.59,236.04,238.25,5112697
117,2-Aug-17,239.06,241.56,237.88,237.95,5119876
118,1-Aug-17,243.38,243.99,239.16,239.44,5018396
119,31-Jul-17,-,-,-,242.46,5777271
120,28-Jul-17,240.82,242.00,238.55,241.27,4602406
121,27-Jul-17,237.13,242.68,236.70,241.0,10860578
122,26-Jul-17,223.48,233.98,223.02,233.45,14139955
123,25-Jul-17,213.22,214.00,211.95,212.46,2889035
124,24-Jul-17,212.00,212.64,211.40,212.18,2392741
125,21-Jul-17,209.99,212.20,209.41,212.14,2098402
