,Date,Open,High,Low,Close,Volume
0,19-Jan-18,1138.03,1143.78,1132.5,1143.5,1527554
1,18-Jan-18,1139.35,1140.58,1124.46,1135.97,1374873
2,17-Jan-18,1136.36,1139.32,1123.49,1139.1,1391510
3,16-Jan-18,1140.31,1148.88,1126.66,1130.7,1823100
4,12-Jan-18,1110.1,1131.3,1108.01,1130.65,1929306
5,11-Jan-18,1112.31,1114.85,1106.48,1112.05,1121216
6,10-Jan-18,1107.0,1112.78,1103.98,1110.14,1036655
7,9-Jan-18,1118.44,1118.44,1108.2,1112.79,1340381
8,8-Jan-18,1111.0,1119.16,1110.0,1114.21,1232221
9,5-Jan-18,1103.45,1113.58,1101.8,1110.29,1512526
10,4-Jan-18,1097.09,1104.08,1094.26,1095.76,1302569
11,3-Jan-18,1073.93,1096.1,1073.43,1091.52,1565945
12,2-Jan-18,1053.02,1075.98,1053.02,1073.21,1588268
13,29-Dec-17,1055.49,1058.05,1052.7,1053.4,1180340
14,28-Dec-17,1062.25,1064.84,1053.38,1055.95,994249
15,27-Dec-17,1066.6,1068.27,1058.38,1060.2,1116203
16,26-Dec-17,1068.64,1068.86,1058.64,1065.85,918767
17,22-Dec-17,1070.0,1071.72,1067.64,1068.86,889446
18,21-Dec-17,1075.39,1077.52,1069.0,1070.85,1282025
19,20-Dec-17,1080.92,1081.24,1068.6,1073.56,1436391
20,19-Dec-17,1083.02,1084.98,1072.27,1079.78,1317519
21,18-Dec-17,1076.45,1086.49,1070.37,1085.09,1514601
22,15-Dec-17,1063.78,1075.25,1060.09,1072.0,3187985
23,14-Dec-17,1055.49,1067.08,1053.6,1057.47,1548139
24,13-Dec-17,1052.08,1055.48,1046.58,1051.39,1384038
25,12-Dec-17,1050.0,1062.5,1044.87,1048.77,1694061
26,11-Dec-17,1051.11,1056.0,1044.12,1051.97,1162694
27,8-Dec-17,1051.81,1056.42,1045.86,1049.38,1558472
28,7-Dec-17,1036.07,1048.92,1035.36,1044.57,1543285
29,6-Dec-17,1016.52,1039.58,1015.31,1032.72,1435549
30,5-Dec-17,1010.99,1036.68,1002.32,1019.6,1949865
31,4-Dec-17,1027.8,1031.34,1009.22,1011.87,1938861
32,1-Dec-17,1030.41,1037.24,1016.9,1025.07,1888081
33,30-Nov-17,1039.94,1044.14,1030.07,1036.17,2254590
34,29-Nov-17,1056.18,1058.77,1029.65,1037.38,2793332
35,28-Nov-17,1073.99,1080.0,1054.54,1063.29,1821171
36,27-Nov-17,1058.57,1073.04,1054.77,1072.01,1771491
37,24-Nov-17,1054.39,1060.07,1051.92,1056.52,825369
38,22-Nov-17,1051.16,1055.43,1047.25,1051.92,726898
39,21-Nov-17,1040.04,1050.39,1039.14,1050.3,1110341
40,20-Nov-17,1036.0,1038.7,1032.68,1034.66,876321
41,17-Nov-17,1049.8,1051.0,1033.73,1035.89,1335610
42,16-Nov-17,1038.75,1051.76,1038.0,1048.47,1188392
43,15-Nov-17,1035.0,1039.63,1030.76,1036.41,905262
44,14-Nov-17,1037.72,1042.3,1029.33,1041.64,1050566
