,Date,Open,High,Low,Close,Volume
0,19-Jan-18,65.31,67.24,65.12,67.21,12896073
1,18-Jan-18,64.00,64.21,63.54,64.11,5656889
2,17-Jan-18,63.67,64.01,63.08,63.81,7422594
3,16-Jan-18,64.78,65.36,63.37,63.42,9116973
4,12-Jan-18,64.50,64.72,64.32,64.67,5135670
5,11-Jan-18,64.03,64.31,63.78,64.29,5103540
6,10-Jan-18,63.88,64.23,63.44,64.22,5010633
7,9-Jan-18,64.23,64.72,63.47,64.09,8771331
8,8-Jan-18,64.15,64.71,63.98,64.55,11905699
9,5-Jan-18,63.70,64.3,63.47,63.98,11632315
10,4-Jan-18,63.40,63.55,62.55,63.44,5780494
11,3-Jan-18,63.48,63.66,62.76,63.48,6091121
12,2-Jan-18,62.85,63.49,62.85,63.49,6510987
13,29-Dec-17,63.21,63.37,62.55,62.55,5222115
14,28-Dec-17,63.00,63.32,62.85,62.95,3987151
15,27-Dec-17,63.56,63.6,62.77,62.95,8959745
16,26-Dec-17,62.90,63.89,62.81,63.65,4563475
17,22-Dec-17,61.20,63.54,60.13,63.29,20414195
18,21-Dec-17,64.29,64.98,63.3,64.77,14352349
19,20-Dec-17,64.39,64.5,63.58,63.59,12468576
20,19-Dec-17,65.15,65.18,64.18,64.24,8212457
21,18-Dec-17,64.93,65.08,64.39,64.81,12651962
22,15-Dec-17,64.89,65.07,64.15,64.79,15659278
23,14-Dec-17,64.43,64.85,64.05,64.53,13055089
24,13-Dec-17,62.22,64.46,62.02,64.3,16072573
25,12-Dec-17,62.17,62.53,61.65,62.17,7358001
26,11-Dec-17,61.37,62.22,61.3,61.91,9017814
27,8-Dec-17,60.50,61.37,60.29,61.3,6065231
28,7-Dec-17,59.86,61.06,59.65,60.6,6113277
29,6-Dec-17,60.41,60.85,59.7,59.72,7862151
30,5-Dec-17,60.65,60.8,59.65,60.42,8862852
31,4-Dec-17,60.27,60.7,59.97,60.1,7513232
32,1-Dec-17,60.42,60.43,59.24,59.88,10113675
33,30-Nov-17,60.26,61.21,60.2,60.42,12551210
34,29-Nov-17,59.73,60.63,59.73,60.36,12022818
35,28-Nov-17,58.76,59.6,58.54,59.58,8665270
36,27-Nov-17,59.20,59.7,59.17,59.63,7891587
37,24-Nov-17,59.00,59.35,58.91,59.32,3400441
38,22-Nov-17,59.18,59.34,58.94,59.07,8501289
39,21-Nov-17,59.03,59.4,58.93,59.39,9057784
40,20-Nov-17,58.63,59.5,57.98,59.25,8480580
41,17-Nov-17,58.54,59.53,58.37,59.19,15475465
42,16-Nov-17,56.62,57.28,56.41,57.23,8233261
43,15-Nov-17,55.96,56.87,55.08,56.63,6610545
44,14-Nov-17,55.71,56.18,55.53,55.98,5037465
45,13-Nov-17,55.66,56.08,55.66,55.91,10106079
46,10-Nov-17,55.88,56.49,55.62,56.09,7535726
47,9-Nov-17,55.50,56.35,55.31,56.13,10958474
48,8-Nov-17,55.00,55.77,54.89,55.76,7079371
49,7-Nov-17,55.75,56.02,55.02,55.15,7774698
50,6-Nov-17,55.29,56.13,55.14,56.04,9332236
51,3-Nov-17,55.15,55.72,55.04,55.71,9448203
52,2-Nov-17,55.15,55.32,54.59,55.12,7250343
53,1-Nov-17,55.42,55.5,54.85,55.07,7544505
54,31-Oct-17,54.75,55.28,54.52,54.99,9794845
55,30-Oct-17,55.71,55.93,54.84,55.27,10169401
56,27-Oct-17,55.82,56.36,55.65,55.96,12801783
57,26-Oct-17,55.26,57.25,55.14,56.81,22185144
58,25-Oct-17,53.43,55.9,52.67,54.94,24804028
59,24-Oct-17,53.90,54.0,53.1,53.42,14767595
60,23-Oct-17,53.06,53.95,53.0,53.66,12242580
61,20-Oct-17,52.79,53.5,52.79,53.06,13020916
62,19-Oct-17,51.66,52.8,51.48,52.69,12568217
63,18-Oct-17,52.18,52.4,52.1,52.3,10890257
64,17-Oct-17,51.50,52.04,51.38,52.0,9492675
65,16-Oct-17,50.80,51.4,50.64,51.37,9299326
66,13-Oct-17,50.83,51.07,50.4,50.98,16227948
67,12-Oct-17,50.98,51.12,50.35,50.83,10658445
68,11-Oct-17,51.39,51.52,51.06,51.13,833886
69,10-Oct-17,51.58,51.82,51.37,51.53,8372726
70,9-Oct-17,52.23,52.3,51.5,51.52,6875105
71,6-Oct-17,52.20,52.46,52.12,52.42,5360267
72,5-Oct-17,52.01,52.32,51.78,52.18,5287422
73,4-Oct-17,51.51,52.13,51.4,52.08,8204280
74,3-Oct-17,52.00,52.05,51.4,51.47,8126729
75,2-Oct-17,52.16,52.21,51.66,51.87,7516205
76,29-Sep-17,52.59,52.82,51.76,51.85,12189882
77,28-Sep-17,52.80,53.03,52.33,52.63,11334704
78,27-Sep-17,52.17,52.69,51.03,52.67,36088002
79,26-Sep-17,53.18,53.97,52.98,53.7,16183717
80,25-Sep-17,53.08,53.56,53.0,53.23,12262360
81,22-Sep-17,53.02,53.61,52.8,53.24,10962392
82,21-Sep-17,53.55,53.64,53.09,53.19,8065367
83,20-Sep-17,53.49,53.64,53.04,53.56,7058002
84,19-Sep-17,52.78,54.05,52.51,53.33,14707174
85,18-Sep-17,53.87,54.16,53.4,53.5,8166438
86,15-Sep-17,53.86,54.06,53.52,53.87,10046827
87,14-Sep-17,53.54,53.89,53.12,53.73,7497401
88,13-Sep-17,53.45,53.64,53.04,53.52,6085952
89,12-Sep-17,53.77,54.09,53.3,53.4,7823691
90,11-Sep-17,52.38,53.13,52.32,53.03,8649915
91,8-Sep-17,52.25,52.51,52.11,52.2,8563283
92,7-Sep-17,52.76,52.85,52.34,52.39,6905762
93,6-Sep-17,53.12,53.34,52.71,52.76,7407562
94,5-Sep-17,53.25,53.47,52.88,53.01,6689126
95,1-Sep-17,53.00,53.45,52.9,53.36,5509805
96,31-Aug-17,52.60,52.98,52.47,52.81,7728916
97,30-Aug-17,52.80,52.96,52.25,52.56,7434491
98,29-Aug-17,52.74,52.88,52.06,52.73,12539931
99,28-Aug-17,54.07,54.43,53.62,53.73,5269393
100,25-Aug-17,54.03,54.2,53.54,53.9,6416622
101,24-Aug-17,53.93,53.97,53.46,53.84,5461911
102,23-Aug-17,53.92,54.08,53.44,53.61,6409366
103,22-Aug-17,53.92,54.41,53.79,54.13,8212816
104,21-Aug-17,54.44,54.44,53.1,53.61,14289253
105,18-Aug-17,54.85,55.42,54.17,54.95,22905183
106,17-Aug-17,58.53,58.74,57.42,57.46,9148637
107,16-Aug-17,58.90,59.05,58.22,58.54,5489569
108,15-Aug-17,58.94,59.01,58.29,58.56,8913041
109,14-Aug-17,59.15,60.0,59.13,59.78,5899971
110,11-Aug-17,58.73,59.27,58.59,58.97,4979994
111,10-Aug-17,59.68,59.69,59.06,59.07,5585115
112,9-Aug-17,59.42,59.96,59.26,59.9,5310944
113,8-Aug-17,59.88,60.12,59.36,59.46,5586439
114,7-Aug-17,59.82,60.1,59.71,59.79,4066712
115,4-Aug-17,60.17,60.34,59.63,59.76,4105953
116,3-Aug-17,59.80,60.53,59.64,60.14,5677172
117,2-Aug-17,59.55,59.95,59.27,59.79,4468121
118,1-Aug-17,59.00,59.94,58.9,59.84,9051700
119,31-Jul-17,-,59.12,58.33,59.05,6225907
120,28-Jul-17,58.15,58.74,57.97,58.67,5112825
121,27-Jul-17,58.60,58.68,57.98,58.15,8259947
122,26-Jul-17,59.09,59.13,58.32,58.36,5529498
