critic,fresh,imdb,link,publication,quote,review_date,rtid,title
Derek Adams,fresh,0114709,http://www.timeout.com/film/reviews/87745/toy-story-3d.html,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",2009-10-04 00:00:00,9559,Toy Story
Richard Corliss,fresh,0114709,"http://www.time.com/time/magazine/article/0,9171,983768-1,00.html",TIME Magazine,The year's most inventive comedy.,2008-08-31 00:00:00,9559,Toy Story
David Ansen,fresh,0114709,http://www.newsweek.com/id/104199,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,2008-08-18 00:00:00,9559,Toy Story
Leonard Klady,fresh,0114709,http://www.variety.com/review/VE1117941294.html?categoryid=31&cs=1,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,2008-06-09 00:00:00,9559,Toy Story
Jonathan Rosenbaum,fresh,0114709,http://onfilm.chicagoreader.com/movies/capsules/13161_TOY_STORY,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",2008-03-10 00:00:00,9559,Toy Story
Michael Booth,fresh,0114709,http://www.denverpost.com/movies/ci_5786068,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",2007-05-03 00:00:00,9559,Toy Story
Geoff Andrew,fresh,0114709,http://www.timeout.com/film/reviews/79673/toy_story.html,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",2006-06-24 00:00:00,9559,Toy Story
Janet Maslin,fresh,0114709,http://movies.nytimes.com/movie/review?res=9905EEDA1339F931A15752C1A963958260&partner=Rotten Tomatoes,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,2003-05-20 00:00:00,9559,Toy Story
Kenneth Turan,fresh,0114709,"http://www.calendarlive.com/movies/reviews/cl-movie960406-39,0,1420921.story",Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",2001-02-13 00:00:00,9559,Toy Story
Roger Ebert,fresh,0114709,http://www.rogerebert.com/reviews/toy-story-1995,Chicago Sun-Times,The result is a visionary roller-coaster ride of a movie.,2000-01-01 00:00:00,9559,Toy Story
Susan Stark,fresh,0114709,http://data.detnews.com/movies/details.hbs?myrec=260,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,2000-01-01 00:00:00,9559,Toy Story
Peter Stack,fresh,0114709,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/11/01/DD69735.DTL,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",2000-01-01 00:00:00,9559,Toy Story
James Berardinelli,fresh,0114709,http://www.reelviews.net/php_review_template.php?identifier=46,ReelViews,The one big negative about Toy Story involves Disney's overcommercialization.,2000-01-01 00:00:00,9559,Toy Story
Rita Kempley,fresh,0114709,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/toystory.htm,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,2000-01-01 00:00:00,9559,Toy Story
