trust,resilience,diversity,belief,perfection,collaboration,comfort zone,innovation zone,bii score
54.67,85,90,94.67,85,67.5,66.67,46,73.69
69.33,100,90,87.33,85,97.5,66.67,46,80.23
58,77.5,80,74.67,90,82.5,60,40,70.33
49.33,65,55,80,90,70,60,20,61.17
80,100,82.5,94.67,95,100,73.33,74,87.44
72.67,85,92.5,74.67,70,77.5,73.33,46,73.96
80,92.5,100,94.67,100,100,80,40,85.9
70.67,72.5,92.5,74.67,85,80,53.33,80,76.08
78,90,100,85.33,90,97.5,66.67,68,84.44
76,82.5,72.5,72.67,70,77.5,60,60,71.4
58,80,57.5,64,65,77.5,40,46,61
92,75,60,54.67,80,85,66.67,72,73.17
85.33,100,92.5,98,95,97.5,80,74,90.29
80,100,75,87.33,80,82.5,73.33,32,76.27
78,92.5,87.5,82,95,85,66.67,80,83.33
68.67,67.5,72.5,50.67,65,77.5,53.33,20,59.4
54.67,77.5,92.5,80,60,82.5,60,32,67.4
85.33,97.5,92.5,90.67,95,85,73.33,54,84.17
74.67,85,82.5,66.67,90,97.5,60,60,77.04
74.67,80,52.5,65.33,75,77.5,60,66,68.88
74.67,90,87.5,73.33,85,60,53.33,20,67.98
58,77.5,80,72.67,75,65,60,20,63.52
90.67,70,87.5,72.67,80,75,66.67,34,72.06
62,92.5,100,92.67,75,100,66.67,68,82.11
67.33,62.5,65,50.67,55,60,60,34,56.81
54.67,72.5,65,76.67,80,85,66.67,60,70.06
78,92.5,100,87.33,90,85,53.33,54,80.02
67.33,92.5,85,66.67,75,85,66.67,52,73.77
49.33,67.5,72.5,72.67,70,67.5,46.67,54,62.52
78,100,80,98,85,95,73.33,60,83.67
74.67,80,97.5,85.33,85,82.5,60,80,80.63
85.33,60,82.5,67.33,75,67.5,53.33,48,67.37
80,80,67.5,80,80,80,73.33,34,71.85
52.67,55,72.5,78,80,70,73.33,60,67.69
54.67,80,95,80,80,65,60,66,72.58
70.67,92.5,75,83.33,80,100,66.67,52,77.52
60,92.5,100,80,85,82.5,60,54,76.75
65.33,92.5,90,98,95,82.5,66.67,54,80.5
32.67,72.5,65,65.33,80,77.5,53.33,40,60.79
78,80,67.5,80,85,97.5,73.33,54,76.92
100,82.5,92.5,89.33,100,87.5,66.67,46,83.06
76.67,85,85,67.33,70,70,60,72,73.25
78,80,77.5,72.67,65,82.5,60,34,68.71
78,92.5,82.5,74.67,80,80,60,74,77.71
65.33,92.5,80,87.33,70,87.5,53.33,86,77.75
52.67,80,87.5,69.33,90,97.5,80,26,72.88
65.33,100,100,96,100,70,66.67,72,83.75
64,77.5,92.5,80,75,72.5,73.33,54,73.6
60,100,87.5,89.33,95,95,66.67,60,81.69
85.33,100,90,71.33,80,70,66.67,74,79.67
72.67,72.5,55,62,80,80,60,46,66.02
80,82.5,57.5,80,80,77.5,66.67,60,73.02
65.33,80,70,74.67,75,65,53.33,40,65.42
74.67,67.5,70,80,90,90,66.67,48,73.36
74.67,92.5,92.5,98,85,80,60,80,82.83
78,100,82.5,80,95,100,60,34,78.69
74.67,100,92.5,80,100,100,73.33,60,85.06
78,80,97.5,74.67,80,65,60,60,74.4
79.33,90,92.5,92.67,90,97.5,80,80,87.75
72.67,85,92.5,64,100,82.5,73.33,86,82
56.67,92.5,85,74.67,90,82.5,73.33,80,79.33
78,80,82.5,80,80,77.5,66.67,54,74.83
49.33,85,92.5,83.33,90,85,73.33,100,82.31
83.33,85,52.5,82,75,95,66.67,46,73.19
63.33,90,55,36.67,70,55,46.67,60,59.58
65.33,57.5,100,82,80,65,73.33,74,74.64
45.33,85,62.5,64,75,80,60,60,66.48
78,60,85,69.33,80,47.5,60,66,68.23
65.33,92.5,100,100,100,100,80,76,89.23
54.67,92.5,70,94.67,95,47.5,60,74,73.54
81.33,70,90,80,80,100,66.67,46,76.75
62,92.5,87.5,70.67,70,65,60,48,69.46
90.67,82.5,92.5,82,80,87.5,46.67,60,77.73
98,80,87.5,87.33,85,85,73.33,34,78.77
52.67,100,100,100,100,100,73.33,74,87.5
56,85,72.5,85.33,80,55,60,54,68.48
65.33,60,60,60,60,60,53.33,60,59.83
79.33,92.5,70,74.67,90,60,66.67,66,74.9
85.33,82.5,100,96,75,85,60,20,75.48
90.67,100,100,100,100,97.5,60,46,86.77
52.67,90,85,71.33,75,97.5,66.67,54,74.02
