Date,SPY,DIA,QQQ
1/2/04,90.07,80.93,33.57
1/5/04,91.01,81.18,34.83
1/12/04,92.5,82.35,35.61
1/20/04,92.66,82.14,35.09
1/26/04,91.89,81.54,34.23
2/2/04,92.67,82.26,34.28
2/9/04,93.23,82.8,34.11
2/17/04,93.02,82.79,34.03
2/23/04,93.14,82.51,33.76
3/1/04,94.24,82.61,33.82
3/8/04,91.16,79.74,32.79
3/15/04,90.24,79.39,32.08
3/22/04,90.22,79.59,32.52
3/29/04,93.15,81.74,34.25
4/5/04,92.93,81.53,34.11
4/12/04,92.5,81.56,33.32
4/19/04,92.93,81.76,34.35
4/26/04,90.16,79.76,32.1
5/3/04,89.35,78.82,32.29
5/10/04,89.42,78.28,32.08
5/17/04,89.23,78,32.33
5/24/04,91.71,79.86,33.75
6/1/04,91.81,80.24,33.41
6/7/04,92.92,81.48,34.01
6/14/04,92.67,81.53,33.64
6/21/04,92.84,81.4,34.47
6/28/04,92.06,80.6,33.99
7/6/04,91.12,80.08,33.01
7/12/04,90.29,79.63,32.01
7/19/04,88.86,78.15,31.59
7/26/04,90.39,79.66,32.21
8/2/04,87.14,77.02,30.21
8/9/04,87.42,77.28,30.02
8/16/04,90.1,79.51,31.4
8/23/04,90.89,80.22,31.91
8/30/04,91.44,80.77,31.52
9/7/04,92.21,81.06,32.43
9/13/04,92.66,80.97,32.71
9/20/04,91.28,79.17,32.13
9/27/04,93.07,80.31,33.33
10/4/04,92.14,79.16,32.85
10/11/04,91.12,78.19,32.9
10/18/04,90.08,76.91,33.05
10/25/04,92.7,78.98,34.07
11/1/04,96.05,82,35.05
11/8/04,97.28,83.12,35.69
11/15/04,96.44,82.71,35.71
11/22/04,97.21,82.98,36.2
11/29/04,97.95,83.59,37.05
12/6/04,98.01,83.44,36.87
12/13/04,98.57,84.39,36.79
12/20/04,99.66,85.67,37.06
12/27/04,99.75,85.16,37.21
1/3/05,97.74,83.84,35.93
1/10/05,97.58,83.52,35.82
1/18/05,96.37,82.33,34.53
1/24/05,96.91,82.81,34.41
1/31/05,99.22,84.84,35.19
2/7/05,99.66,85.7,35.14
2/14/05,99.35,85.67,34.81
2/22/05,100.21,86.11,35.07
2/28/05,101.28,87.04,34.97
3/7/05,99.35,85.69,34.65
3/14/05,98.21,84.33,34.03
3/21/05,97.05,83.12,33.81
3/28/05,97.29,82.81,33.74
4/4/05,97.76,83.2,34.15
4/11/05,94.57,80.2,32.38
4/18/05,95.75,81.1,32.71
4/25/05,95.9,81.14,32.61
5/2/05,97.01,82.38,33.43
5/9/05,95.87,80.98,33.78
5/16/05,98.69,83.6,35.1
5/23/05,99.63,84.19,35.62
5/31/05,99.54,83.67,35.51
6/6/05,99.58,84.03,35
6/13/05,100.95,84.82,35.33
6/20/05,98.97,82.28,34.49
6/27/05,99.43,82.48,34.27
